id_miasta,Powierzchnia_miasta,Powierzchnia_terenow_zielonych,Data_aktualizacji
1,517200,8798,2013-12-31
2,293300,2947,2013-12-31
3,326800,1731,2012-12-31
4,292800,1703,2011-12-31
5,261900,4039,2012-12-31
6,261620,4854,2007-12-31
